Index,Hogwarts House
3,Gryffindor
12,Hufflepuff
20,Gryffindor
31,Gryffindor
33,Hufflepuff
36,Hufflepuff
49,Gryffindor
57,Slytherin
62,Hufflepuff
71,Slytherin
72,Slytherin
84,Hufflepuff
92,Ravenclaw
98,Slytherin
102,Ravenclaw
110,Slytherin
111,Ravenclaw
117,Slytherin
120,Ravenclaw
121,Slytherin
126,Hufflepuff
127,Slytherin
144,Gryffindor
147,Gryffindor
153,Slytherin
161,Hufflepuff
162,Hufflepuff
163,Slytherin
166,Hufflepuff
187,Slytherin
197,Ravenclaw
199,Slytherin
200,Hufflepuff
202,Ravenclaw
204,Gryffindor
214,Ravenclaw
226,Hufflepuff
228,Hufflepuff
230,Hufflepuff
237,Ravenclaw
239,Hufflepuff
241,Gryffindor
255,Ravenclaw
264,Slytherin
265,Slytherin
273,Hufflepuff
274,Ravenclaw
285,Ravenclaw
286,Gryffindor
291,Hufflepuff
301,Hufflepuff
304,Hufflepuff
305,Gryffindor
323,Gryffindor
330,Slytherin
333,Hufflepuff
338,Gryffindor
341,Slytherin
343,Hufflepuff
347,Ravenclaw
350,Gryffindor
357,Hufflepuff
360,Hufflepuff
364,Slytherin
373,Hufflepuff
376,Ravenclaw
379,Ravenclaw
384,Gryffindor
386,Ravenclaw
387,Hufflepuff
388,Ravenclaw
391,Slytherin
392,Hufflepuff
397,Slytherin
406,Slytherin
409,Gryffindor
414,Hufflepuff
421,Slytherin
422,Hufflepuff
425,Gryffindor
430,Gryffindor
432,Hufflepuff
434,Hufflepuff
435,Hufflepuff
437,Ravenclaw
447,Gryffindor
453,Hufflepuff
466,Gryffindor
473,Hufflepuff
477,Hufflepuff
478,Gryffindor
481,Hufflepuff
485,Hufflepuff
489,Hufflepuff
496,Slytherin
502,Hufflepuff
503,Hufflepuff
516,Ravenclaw
519,Gryffindor
524,Slytherin
525,Ravenclaw
527,Gryffindor
529,Gryffindor
532,Gryffindor
551,Slytherin
558,Hufflepuff
562,Ravenclaw
565,Hufflepuff
570,Hufflepuff
572,Ravenclaw
584,Ravenclaw
586,Ravenclaw
601,Ravenclaw
605,Ravenclaw
608,Slytherin
622,Gryffindor
634,Ravenclaw
650,Slytherin
655,Hufflepuff
656,Ravenclaw
664,Ravenclaw
667,Hufflepuff
677,Gryffindor
682,Ravenclaw
695,Gryffindor
696,Ravenclaw
697,Ravenclaw
705,Hufflepuff
709,Gryffindor
710,Ravenclaw
712,Gryffindor
713,Ravenclaw
716,Hufflepuff
718,Ravenclaw
726,Slytherin
731,Ravenclaw
732,Slytherin
750,Hufflepuff
753,Hufflepuff
756,Hufflepuff
758,Hufflepuff
759,Gryffindor
761,Slytherin
763,Hufflepuff
767,Slytherin
780,Slytherin
781,Ravenclaw
784,Hufflepuff
794,Ravenclaw
797,Ravenclaw
809,Ravenclaw
810,Slytherin
812,Slytherin
815,Ravenclaw
823,Ravenclaw
828,Ravenclaw
836,Hufflepuff
841,Gryffindor
847,Slytherin
848,Hufflepuff
850,Ravenclaw
851,Slytherin
857,Slytherin
860,Gryffindor
867,Hufflepuff
872,Hufflepuff
873,Slytherin
875,Hufflepuff
879,Gryffindor
881,Slytherin
889,Slytherin
895,Slytherin
896,Ravenclaw
901,Ravenclaw
903,Hufflepuff
908,Gryffindor
912,Gryffindor
924,Hufflepuff
927,Ravenclaw
932,Hufflepuff
936,Hufflepuff
939,Ravenclaw
940,Gryffindor
942,Gryffindor
946,Hufflepuff
950,Hufflepuff
953,Hufflepuff
958,Hufflepuff
959,Hufflepuff
964,Hufflepuff
966,Hufflepuff
968,Gryffindor
969,Hufflepuff
970,Hufflepuff
971,Slytherin
972,Ravenclaw
